1,Sugar Crumb,1.8,865,BabbleSet
2,Wine Zinfandel Rosenblum,97.00,742,Thoughtstorm
3,Salmon Canned,2.3,470,Cogibox
4,Pork Backs Boneless,3.1,503,Skilith
5,Pheasants Whole,7.2,195,Zoombeat
6,Squid Ink,7.1,344,Skilith
7,Sugar Palm,5.8,967,Cogibox
8,Lid Translucent,6.3,229,Wikivu
9,Onions Green,1.9,285,Lazz
10,Wine Magnotta Red Baco,75,145,Brainlounge
11,Sugar Individual Portions,4.7,233,Cogibox
12,Bread White Mini Epi,6.5,674,Yambee
13,Chervil Fresh,4.5,314,Yambee
14,Cookies Cereal Nut,7.5,109,Gabcube
15,Baking Soda,2.5,902,Youfeed
16,Juice Tomato 48 Oz,8.8,831,Katz
17,Bread Hot Dog Buns,6.9,250,Yambee
18,Persimmons,9.2,240,Gabcube
19,Parsley Dried,9.9,863,Devpoint
20,Sauce Roasted Red Pepper,6.0,853,Realcube
21,Lentils Green Dry,4.5,884,Skilith
22,Fudge Chocolate Fudge,5.5,984,Yodo
23,Petit Baguette,4,830,Realcube
24,Sobe Green Tea,7.2,969,Oodoo
25,Juice Cranberry 284ml,6.5,817,Realcube
26,Cup 3.5oz Foam,8.8,679,Thoughtstorm
27,Berry Brulee,8.9,928,Yambee
28,Sugar Icing,7.6,352,Skilith
29,Capon Whole,6.0,929,Thoughtstorm
30,Soup Campbells Chili,6,431,Katz
31,SpingLoaded Cup Dispenser,1.4,698,Voonte
32,Doilies 7 Paper,6.2,133,Devpoint
33,Spinach Spinach Leaf,3.7,227,BabbleSet
34,Cheese Brie Triple Creme,4.2,365,Brainlounge
35,Gooseberry,6.3,957,Feedfire
36,Peach Fresh,8.7,807,Voonte
37,Lemon Grass,6.1,58,Voonte
38,Olives Stuffed,2.3,276,Devpoint
39,Basil Primerba Paste,6.4,617,Plajo
40,Sauce Thousand Island,5.5,580,Feedfire
41,Myers Planters Punch,3.5,380,Realcube
42,Rum White Gg White,2.2,966,Feedfire
43,Pumpkin,1.5,408,Skilith
44,Gatorade Cool Blue Raspberry,6.1,648,Thoughtstorm
45,Muffin Mix Corn Harvest,2.6,521,Lazz
46,Wine White Pinot Grigio,62,290,Thoughtstorm
47,Tequila Sauza Silver,5.0,954,Agivu
48,Turkey Ground Lean,6.5,842,Plajo
49,Loquat,5.4,396,Thoughtstorm
50,Rice Pilaf,8.2,610,Devpoint
51,Bar Mix Lemon,6.0,84,Wikivu
52,Longos Lasagna Beef,1.5,12,Devpoint
53,Danishes Mini Cheese,7.7,821,Jetpulse
54,Wine Marlbourough Sauv Blanc,73,755,Agivu
55,Tarragon Fresh,10.0,32,Thoughtstorm
56,Bread Roll,6.1,530,Oodoo
57,Cookie Dough Variety,4.6,531,Realcube
58,Soup Campbells,7.8,956,Realcube
59,Steampan Lid For Half Size,13,970,Brainlounge
60,Beer Camerons Auburn,2.7,488,Jetpulse
61,Squeeze Bottle,1.8,932,Katz
62,Sproutsmustard Cress,8.3,694,Katz
63,Bag Clear 7 Lb,5,911,Feedfire
64,Bacardi Mojito,4.9,586,Agivu
65,Olive Spread Tapenade,8.5,805,Meejo
66,Beef Sushi Flat Iron Steak,2.1,530,Agivu
67,Nacho Chips,9.0,167,Quinu
68,Cake French Pear Tart,9.3,853,Katz
69,Wine Red Cabernet Sauvignon,82,244,Voonte
70,Cumin Ground,5.9,869,Gabcube
71,Squash Pattypan Yellow,9,448,Skilith
72,Mushroom Chantrelle Fresh,2.9,181,Quinu
73,Bread Rolls Rye,2.6,589,Thoughtstorm
74,Truffle Peelings,3.8,624,Voonte
75,Wooden Mop Handle,4.6,4,Yambee
76,Soup Campbells Chicken Noodle,4.3,569,Lazz
77,Spice Montreal Steak Spice,10.0,822,BabbleSet
78,Currants,2.3,914,BabbleSet
79,Red Currant Jelly,4.3,554,Yodo
80,Wine Vouvray Cuvee Domaine,59,824,Jetpulse
81,Turkey Tenderloin Frozen,7.2,274,BabbleSet
82,Oil Shortening All Purpose,8.9,339,Meejo
83,Irish Cream Butterscotch,8.6,393,Plajo
84,Tart Butter Plain Squares,10.0,951,Gabcube
85,Table Cloth 62x120 Colour,1.6,197,Meejo
86,Pepper Black Ground,6,720,Yodo
87,Anchovy Fillets,6.5,427,Youfeed
88,Cardamon Ground,1.7,858,Meejo
89,Pecan Raisin Tarts,5.7,532,Feedfire
90,Fenngreek Seed,3.1,707,Oodoo
91,Wine Peller Estates Late,61,251,Thoughtstorm
92,Salt Seasoned,3.3,166,Yambee
93,Apple Granny Smith,7.5,929,Cogibox
94,Vinegar Balsamic,8.4,322,Brainlounge
95,Cookies Almond Hazelnut,1.7,62,Realcube
96,Jolt Cola Red Eye,2.3,673,Oodoo
97,Jicama,9.7,541,Quinu
98,Sour Cream,6.0,719,Skilith
99,Ice Cream Bar Hageen Daz To,6.0,34,Youfeed
100,Magnotta Bel Paese Red,7.2,740,Feedfire
